;ленинский.СПб;клин;золотой.вавилон;электрозавод;правоборежный.СПб;Академический.СПб
01.03.2015;18823;16397;31516;15512;16452;17217
01.04.2015;15145;15211;22901;13442;16241;16142
01.05.2015;13667;13276;19810;13100;13524;13477
01.06.2015;14216;15941;19387;11645;14853;13427
01.07.2015;14988;16381;19103;10336;18192;16139
01.08.2015;13650;16244;18221;10895;18008;16180
01.09.2015;16555;16179;18422;12851;18162;15254
01.10.2015;16883;17002;21114;13459;21861;17734
01.11.2015;22787;19347;30468;16129;26887;24961
01.12.2015;44541;33408;56471;35386;54022;50722
01.01.2016;16050;15436;24386;14016;19687;18031
01.02.2016;15026;14938;25680;18259;16561;16814
