Klin (21-feb);Gold vavilon (06-oct.);electrozavod (14-may);pravoberezhniy SPB (04-may);Acedimcheskiy SPB (04-may);leninskiy SPB (04-may)
19;17;83;340;249;272
163;1080;139;352;261;244
295;735;100;282;428;361
396;251;131;420;389;247
765;431;140;296;356;413
425;400;197;442;285;246
232;396;200;428;351;283
370;536;163;362;363;318
582;1153;106;294;277;344
424;770;191;338;403;186
370;379;219;370;342;406
554;509;276;428;337;224
587;469;238;318;422;390
445;257;173;413;402;320
547;378;175;316;330;209
890;994;214;378;364;210
631;729;229;324;409;243
445;461;296;404;430;217
516;153;222;293;183;322
433;415;227;485;512;405
394;427;175;529;441;639
297;410;80;527;484;511
308;1097;184;374;455;525
448;991;197;374;392;295
657;259;241;477;320;292
647;526;174;414;456;401
549;442;301;450;304;436
417;540;201;586;405;495
402;941;179;613;232;466
560;1025;133;282;315;284
383;634;194;453;357;304
372;452;218;484;305;366
651;358;411;493;376;316
737;458;408;340;405;480
377;578;388;253;270;425
441;415;282;390;264;368
401;1334;199;353;240;286
644;1035;305;296;385;352
439;403;481;354;418;674
539;466;474;265;479;282
698;346;452;290;306;249
343;583;423;269;369;217
525;667;296;326;404;429
411;1300;185;345;265;165
252;759;261;436;297;332
477;546;218;328;417;296
752;307;450;287;225;327
588;369;346;1076;618;855
421;400;276;660;867;886
524;490;259;768;715;815
533;1115;226;728;360;546
330;816;234;757;625;596
488;417;349;729;538;412
685;255;421;672;810;837
387;432;348;652;566;654
389;637;404;738;553;790
485;522;330;665;803;663
411;1364;187;592;636;475
455;1087;370;700;692;475
408;763;374;632;590;404
431;581;349;594;464;506
505;588;255;530;445;491
277;468;414;462;644;470
243;749;204;905;653;538
295;1207;161;485;532;384
310;1500;387;587;378;598
328;661;407;445;595;471
488;630;375;555;481;610
523;629;541;566;553;550
351;811;361;811;630;533
190;847;298;540;463;454
416;1824;145;449;291;365
350;1762;279;496;390;557
458;734;507;446;449;592
419;944;349;712;413;555
633;732;453;777;429;569
445;671;378;679;748;421
440;1337;198;446;595;523
333;2622;150;627;430;303
394;2784;282;570;593;467
494;1589;364;513;384;459
352;1531;237;471;524;511
470;2132;392;620;537;450
377;2353;396;497;579;372
444;2935;265;659;431;433
310;2519;144;500;432;399
374;1322;212;469;508;360
466;1021;314;810;651;343
580;943;337;676;628;511
545;742;488;535;336;478
461;698;599;627;439;474
397;1028;313;485;512;408
369;1420;258;372;592;418
459;916;310;583;509;289
743;657;539;578;351;242
677;457;268;409;387;231
452;524;356;621;380;311
497;638;406;732;546;612
412;1175;459;608;747;332
371;1088;271;513;473;438
517;367;526;540;562;422
486;487;422;580;467;278
524;494;334;761;492;390
631;427;311;679;622;720
444;862;404;620;661;655
379;1319;362;621;632;469
381;1068;275;547;381;384
501;461;508;628;264;258
526;565;459;584;392;572
539;656;573;548;557;445
516;540;499;437;511;254
372;786;582;590;623;544
572;1124;463;578;548;493
486;1065;259;664;526;302
458;661;725;448;514;312
361;685;598;513;600;488
399;597;376;561;567;418
543;570;656;689;596;403
633;834;686;638;626;672
512;1668;565;748;761;593
584;1499;196;809;466;463
392;704;459;529;407;430
508;662;507;542;427;257
407;646;458;522;378;434
428;536;489;417;378;606
527;808;420;611;590;636
531;1563;447;617;555;579
441;1282;424;609;380;461
490;629;420;611;564;566
569;493;438;643;312;439
685;601;358;604;428;463
364;426;470;552;544;444
365;609;610;742;524;755
412;1300;657;805;587;641
476;1228;564;627;545;534
303;632;486;498;523;315
517;617;434;573;529;404
533;747;415;576;405;501
502;1160;545;451;497;558
433;688;629;892;816;764
630;1085;343;818;553;942
480;1154;365;565;440;388
479;320;423;356;468;601
455;659;590;485;439;363
615;800;600;629;463;539
781;514;478;437;482;553
490;759;612;690;848;983
421;1710;385;906;654;610
577;1183;423;608;688;713
603;511;461;451;356;477
469;587;519;598;492;466
593;1525;485;762;470;655
457;1550;521;454;592;468
455;1192;622;739;592;682
426;1065;425;631;914;594
493;544;557;440;522;354
493;490;437;684;517;639
478;1018;405;502;390;425
573;594;559;518;600;384
433;1004;588;681;630;418
331;715;523;948;867;851
530;1422;363;921;586;846
597;1001;369;490;492;523
391;342;694;802;455;626
368;756;427;904;500;586
543;563;733;923;757;589
598;414;283;515;423;693
511;833;466;1270;755;845
469;1770;410;659;684;700
497;1121;234;734;496;313
485;653;526;643;553;409
779;545;487;692;433;473
551;498;406;637;409;257
695;538;390;661;405;354
575;814;391;1079;810;612
652;1781;402;767;943;687
