"","V1","V2","V3","V4","V5","V6"
"1","AIR-PWRINJ4=","green","120","2","14","0"
"2","C2960S-STACK=","green","45","24","33","0"
"3","C3KX-NM-10G=","green","10","19","26","0"
"4","C3KX-NM-1G=","green","47","39","46","31"
"5","C3KX-PWR-350WAC=","green","49","29","15","0"
"6","CISCO1921/K9","green","20","52","10","0"
"7","CISCO1941/K9","green","1","13","4","0"
"8","CISCO2901/K9","green","26","25","21","2"
"9","CISCO2921/K9","green","12","29","8","0"
"10","CP-7915=","green","23","5","21","24"
"11","CP-7916=","green","25","25","6","0"
"12","CP-7962G=","green","64","67","70","17"
"13","CP-PWR-CORD-CE=","green","393","138","74","0"
"14","CP-PWR-CUBE-3=","green","691","420","599","0"
"15","CP-SINGLFOOTSTAND=","green","37","9","52","0"
"16","GLC-T=","green","125","67","171","2"
"17","RCKMNT-19-CMPCT=","green","39","29","48","0"
"18","VIC3-4FXS/DID=","green","11","8","37","0"
"19","WS-C2960S-24PS-L","green","24","11","20","5"
"20","WS-C2960S-24TS-L","green","69","46","57","0"
"21","WS-C2960S-24TS-S","green","15","3","11","0"
"22","WS-C2960S-48TS-L","green","22","26","29","0"
"23","WS-C3750X-24T-S","green","19","29","3","0"
"24","AIR-ANT2524DW-R=","yellow","1167","434","855","0"
"25","AIR-CAP1602I-R-K9","yellow","105","115","146","0"
"26","AIR-CAP2602E-R-K9","yellow","50","169","106","0"
"27","AIR-CAP2602I-R-K9","yellow","-14","63","121","0"
"28","AIR-CAP3602I-R-K9","yellow","43","21","8","0"
"29","AIR-CT2504-RMNT=","yellow","13","10","10","0"
"30","AIR-SAP1602I-R-K9","yellow","61","43","96","0"
"31","C2960X-STACK=","yellow","12","46","20","0"
"32","CISCO2911R/K9","yellow","15","49","30","0"
"33","CP-3905=","yellow","637","431","685","0"
"34","CP-6921-C-K9=","yellow","1009","43","24","0"
"35","CP-7945G=","yellow","177","89","126","0"
"36","CP-7965G=","yellow","27","24","13","0"
"37","CP-7975G=","yellow","161","11","15","0"
"38","CP-PWR-CUBE-4=","yellow","86","12","35","0"
"39","EHWIC-1GE-SFP-CU=","yellow","0","12","8","0"
"40","GLC-LH-SMD=","yellow","328","202","509","0"
"41","GLC-SX-MMD=","yellow","156","151","143","0"
"42","PA100-EU","yellow","89","109","87","0"
"43","PWR-C1-350WAC=","yellow","6","20","9","0"
"44","SFP-10G-SR=","yellow","59","33","117","0"
"45","SLM2008T-EU","yellow","7","40","4","0"
"46","SLM2016T-EU","yellow","5","16","4","0"
"47","SLM2048T-EU","yellow","8","14","14","0"
"48","SLM224PT-EU","yellow","3","7","5","0"
"49","SPA122-XU","yellow","255","414","81","0"
"50","SPA8000-XU","yellow","28","36","72","0"
"51","SRW2048-K9-EU","yellow","6","6","4","0"
"52","SRW208P-K9-EU","yellow","16","14","18","0"
"53","SRW224G4-K9-EU","yellow","22","26","7","0"
"54","WS-C2960C-12PC-L","yellow","24","54","2","0"
"55","WS-C2960C-8PC-L","yellow","45","11","11","0"
"56","WS-C2960S-48LPS-L","yellow","8","14","5","0"
"57","WS-C3750X-12S-S","yellow","16","9","2","0"
"58","AIR-CAP1602E-R-K9","orange","51","35","49","0"
"59","AIR-CAP702I-R-K9","orange","81","52","27","0"
"60","AIR-CT2504-5-K9","orange","23","9","3","0"
"61","AIR-PWRINJ5=","orange","123","56","78","0"
"62","AIR-SAP2602I-R-K9","orange","50","14","18","0"
"63","ASA5512-K8","orange","7","8","6","0"
"64","C881-K9","orange","16","25","25","0"
"65","CAB-CONSOLE-RJ45=","orange","51","16","5","0"
"66","CISCO2911R-V/K9","orange","6","3","3","0"
"67","CP-3905-PWR-CE=","orange","143","31","622","0"
"68","CP-7821-K9=","orange","339","432","463","0"
"69","CP-7841-K9=","orange","80","79","79","0"
"70","CP-7861-K9=","orange","21","24","24","0"
"71","CP-7925G-E-K9=","orange","29","26","22","0"
"72","CP-7942G-R=","orange","314","117","83","0"
"73","CP-8831-K9=","orange","0","21","9","3"
"74","CP-9971-CR-CAM-K9=","orange","37","2","11","0"
"75","CP-MIC-WIRED-S=","orange","16","4","4","0"
"76","HWIC-2FE=","orange","5","8","20","0"
"77","SPA112-XU","orange","18","110","139","0"
"78","SPA8800-XU","orange","10","5","5","0"
"79","VWIC3-1MFT-T1/E1=","orange","5","8","0","0"
"80","WS-C2960+24PC-L","orange","35","8","1","0"
"81","WS-C2960+24PC-S","orange","16","2","2","0"
"82","WS-C2960+24TC-L","orange","26","83","60","0"
"83","WS-C2960+24TC-S","orange","14","20","14","0"
"84","WS-C2960+48PST-L","orange","11","17","2","0"
"85","WS-C2960+48TC-L","orange","25","17","5","1"
"86","WS-C2960+48TC-S","orange","3","11","3","0"
"87","WS-C2960CG-8TC-L","orange","-5","32","2","0"
"88","WS-C2960X-24PS-L","orange","17","8","7","0"
"89","WS-C2960X-24TS-L","orange","30","18","47","0"
"90","WS-C2960X-48FPD-L","orange","6","11","1","0"
"91","WS-C2960X-48FPS-L","orange","4","10","8","0"
"92","WS-C2960X-48TS-L","orange","42","35","3","0"
"93","WS-C3850-24T-S","orange","3","11","1","3"
