РБЮ;КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
OCS Центральный офис;10003;КОНСТАНТА;2358,2;19545;17186,8;1605,93;2,726406;39;0;125,9298;351;108;-188
OCS Центральный офис;1000629;АДП Кабельные Сети;8221,64;22516,28;14294,64;8221,64;1,828074;38;0;2,9472;1470;86;669,6524
OCS Центральный офис;1000640;NetSL;-94,67;58350,7;58445,37;-94,67;3,217208;18;0;595,1606;176;61;127,9928
OCS Центральный офис;1000645;Jet Infosystems;313524,82;3253459,25;2939934,43;313524,82;70,709374;129;0;18513,1454;48282;701;9122,1388
OCS Центральный офис;1000673;Крок;1647735,92;14274052,92;12626317;1667274,71;316,477319;272;67,205;32809,4811;29813;1135;0
OCS Центральный офис;1000681;НИКС ООО;50974,78;1873651;1822676,22;50974,78;160,328041;15;0;31330,3066;44119;4062;0
OCS Центральный офис;1000706;Визард;92582,95;1003176,06;910593,11;92582,95;102,783069;77;0;16958,0518;4573;163;22,072
OCS Центральный офис;1000712;ЛанХост;2607,67;21764,77;19157,1;2607,67;0,110126;10;0;0;2520;17;870,5908
OCS Центральный офис;1000733;Терра Линк;34230,56;399106,28;364875,72;30232,03;11,6106;34;0;423,9784;341;60;62,7988
OCS Центральный офис;1000746;Compulink;461429,47;4228945,96;3767516,49;252036,13;22,171969;31;0;-399292,7159;2169;506;157,4756
OCS Центральный офис;1000747;Варум;21654,13;273866,89;252212,76;21654,13;20,428834;51;0;4305,9856;1319;195;0
OCS Центральный офис;1000756;Элвио-Экспресс;318,86;2085,98;1767,12;318,86;0,297902;4;0;1,6059;9;8;0
OCS Центральный офис;1000758;STEP;440727,5;7563835,93;7123108,43;440727,5;105,934911;234;0;74255,4314;24938;1557;0
OCS Центральный офис;1000765;Инел;-37227,19;201343,57;238570,76;-37227,19;4,56247;48;0;6936,1746;1733;110;0
OCS Центральный офис;1000789;Эльбрус-2000;4690,66;60237,95;55547,29;894,61;1,315138;8;0;0;72;12;393,2448
