КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
1000645;Jet Infosystems;3185,58;76309,45;73123,87;3185,58;0,579416;1;0;0;3;2;0
1000673;Крок;7748,5;67504,56;59756,06;7748,5;3,542515;13;228,5719;0;463;49;0
1000901;Арсенал+;51313,19;591332,64;540019,45;50621,69;42,293263;103;6325,2612;6086,6;8796;1262;3565,4177
1002466;Верисел-Сервис;391,74;9152,37;8760,63;2099,26;0,429111;10;168,2216;0;23;20;19,4532
1003198;ЛОГИС;62327,28;1333852,64;1271525,36;62327,28;48,883291;238;17180,983;708,42;12783;909;20021,8722
1003990;Интерсист;2452,62;8263,89;5811,27;2452,62;5,19139;3;0;0;-83;17;134,19
1004568;СофтЛайн Трейд;16009,96;357420,22;341410,26;10378,6;2,482429;11;4004,5944;0;133;59;1034,7912
1005744;Орбита - Холдинг (г. Курган);621,65;2501,96;1880,31;621,65;0,159356;3;8,171;0;35;15;0
1006625;ДНС;60636,91;441670,62;381033,71;66055,53;123,536062;5;11709,8454;3767,43;5426;1116;4,08
1007572;Техносити (г. Тюмень);182,72;605,63;422,91;182,72;0,35188;2;0;0;4;2;0
1008464;РемМарк (г.Сургут);-24774,31;321427,31;346201,62;-24774,31;34,104419;19;62920,1521;68460,96;1176;225;934,0386
1008821;СибНАЦ (г.Тюмень);790,57;2499,91;1709,34;790,57;1,470347;1;0;0;4;4;0
10728;ИВС;60646,14;545305,69;484659,55;60455,68;50,476172;327;1152,1793;813,71;17019;1398;432,9232
10973;Окта Консалтинг (г. Тюмень);421,37;13140,07;12718,7;421,37;0,562516;12;316;0;146;29;263,6088
11038;ООО ``Медиа-Маркт-Сатурн``;15726,53;362162,44;346435,91;25496,95;14,240501;102;12475,3179;2507,3;2428;526;0
11063;ЛПКОМ (г. Сургут);-5,43;352,58;358,01;-5,43;0,016546;1;17,955;0;19;5;14,1032
1972;КАТ Лтд (г.Тюмень);13695,22;108781,32;95086,1;13695,22;3,69139;18;1716,4674;0;1677;79;286,4883
3530;Техносерв А/С;10253,47;67679,46;57425,99;2554,7;0,64266;4;46,9212;0;22;14;0
3742;Компас Плюс;262,66;3188,35;2925,69;262,66;0,218097;5;0;0;6;6;24,91
4000170;Арко;244,05;905,92;661,87;244,05;0,04848;3;0;19,47;146;6;15,04
4000172;Бионт;449,21;14381,11;13931,9;449,21;2,177712;18;346,688;0;380;94;405,6888
4000173;ГармПлюс;151,31;1046,53;895,22;151,31;0,143339;7;3,039;0;78;75;39,0764
